,Unnamed: 0,PROVINCIA,CITY,CPA,ERROR
876,876,Buenos-Aires,calles-de-Casbas,Buscar CPA,
882,882,Buenos-Aires,calles-de-Cascada,Buscar CPA,
883,883,Buenos-Aires,calles-de-Casey,Buscar CPA,
888,888,Buenos-Aires,calles-de-Chacabuco,Buscar CPA,
894,894,Buenos-Aires,calles-de-Chala-Quilca,Buscar CPA,
910,910,Buenos-Aires,calles-de-Chillar,Buscar CPA,
914,914,Buenos-Aires,calles-de-Chivilcoy,Buscar CPA,
916,916,Buenos-Aires,calles-de-Ciudadela,Buscar CPA,
917,917,Buenos-Aires,calles-de-Ciudadela,Buscar CPA,
918,918,Buenos-Aires,calles-de-Claraz,Buscar CPA,
923,923,Buenos-Aires,calles-de-Claraz,Buscar CPA,
925,925,Buenos-Aires,calles-de-Claudio-C-Molina,Buscar CPA,
927,927,Buenos-Aires,calles-de-Cobo,Buscar CPA,
930,930,Buenos-Aires,calles-de-Cobo,Buscar CPA,
934,934,Buenos-Aires,calles-de-Colegio-San-Pablo,Buscar CPA,
938,938,Buenos-Aires,calles-de-Colegio-San-Pablo,Buscar CPA,
947,947,Buenos-Aires,calles-de-Colonia-Ferrari,Buscar CPA,
949,949,Buenos-Aires,calles-de-Colonia-Ferrari,Buscar CPA,
950,950,Buenos-Aires,calles-de-Colonia-Hipolito-Yrigoyen,Buscar CPA,
961,961,Buenos-Aires,calles-de-Colonia-la-Celina,Buscar CPA,
968,968,Buenos-Aires,calles-de-Colonia-la-Graciela,Buscar CPA,
969,969,Buenos-Aires,calles-de-Colonia-la-Graciela,Buscar CPA,
978,978,Buenos-Aires,calles-de-Colonia-los-Alfalfares,Buscar CPA,
989,989,Buenos-Aires,calles-de-Colonia-Miguel-Esteverena,Buscar CPA,
993,993,Buenos-Aires,calles-de-Colonia-Nac-de-Alienados,Buscar CPA,
998,998,Buenos-Aires,calles-de-Colonia-San-Pedro,Buscar CPA,
1011,1011,Buenos-Aires,calles-de-Colonia-Stegman,Buscar CPA,
1018,1018,Buenos-Aires,calles-de-Colonia-Tapatta,Buscar CPA,
1019,1019,Buenos-Aires,calles-de-Colonia-Tapatta,Buscar CPA,
1034,1034,Buenos-Aires,calles-de-Cortines,Buscar CPA,
1041,1041,Buenos-Aires,calles-de-Costa-Bonita-Balneario,Buscar CPA,
1045,1045,Buenos-Aires,calles-de-Costa-Brava,Buscar CPA,
1047,1047,Buenos-Aires,calles-de-Costa-del-Este,Buscar CPA,
1048,1048,Buenos-Aires,calles-de-Costa-del-Este,Buscar CPA,
1050,1050,Buenos-Aires,calles-de-Costa-Esmeralda,Buscar CPA,
1051,1051,Buenos-Aires,calles-de-Costa-Esmeralda,Buscar CPA,
1053,1053,Buenos-Aires,calles-de-Costa-Esmeralda,Buscar CPA,
1063,1063,Buenos-Aires,calles-de-Cristiano-Muerto,Buscar CPA,
1071,1071,Buenos-Aires,calles-de-De-Bary,Buscar CPA,
1072,1072,Buenos-Aires,calles-de-De-Bary,Buscar CPA,
1073,1073,Buenos-Aires,calles-de-De-Bary,Buscar CPA,
1075,1075,Buenos-Aires,calles-de-De-la-Garma,Buscar CPA,
1077,1077,Buenos-Aires,calles-de-Del-Carril,Buscar CPA,
1078,1078,Buenos-Aires,calles-de-Del-Carril,Buscar CPA,
1081,1081,Buenos-Aires,calles-de-Desvio-Kilometro-234,Buscar CPA,
1082,1082,Buenos-Aires,calles-de-Diego-Gaynor,Buscar CPA,
1093,1093,Buenos-Aires,calles-de-Dique-Lujan,Buscar CPA,
1094,1094,Buenos-Aires,calles-de-Dique-Lujan,Buscar CPA,
1099,1099,Buenos-Aires,calles-de-Dock-Central,Buscar CPA,
1106,1106,Buenos-Aires,calles-de-Doctor-Domingo-Cabred,Buscar CPA,
1113,1113,Buenos-Aires,calles-de-Doyle,Buscar CPA,
1118,1118,Buenos-Aires,calles-de-Doyle,Buscar CPA,
1121,1121,Buenos-Aires,calles-de-Duggan,Buscar CPA,
1123,1123,Buenos-Aires,calles-de-Duggan,Buscar CPA,
1125,1125,Buenos-Aires,calles-de-Duhau,Buscar CPA,
1132,1132,Buenos-Aires,calles-de-Dussaud,Buscar CPA,
1137,1137,Buenos-Aires,calles-de-Edmundo-Perkins,Buscar CPA,
1139,1139,Buenos-Aires,calles-de-Eduardo-Costa,Buscar CPA,
1144,1144,Buenos-Aires,calles-de-El-60,Buscar CPA,
1154,1154,Buenos-Aires,calles-de-El-Alba,Buscar CPA,
1166,1166,Buenos-Aires,calles-de-El-Araza,Buscar CPA,
1176,1176,Buenos-Aires,calles-de-El-Carretero,Buscar CPA,
1186,1186,Buenos-Aires,calles-de-El-Cruce,Buscar CPA,
1198,1198,Buenos-Aires,calles-de-El-Gavilan,Buscar CPA,
1200,1200,Buenos-Aires,calles-de-El-Gavilan,Buscar CPA,
1222,1222,Buenos-Aires,calles-de-El-Mangrullo,Buscar CPA,
1223,1223,Buenos-Aires,calles-de-El-Marquesado,Buscar CPA,
1224,1224,Buenos-Aires,calles-de-El-Marquesado,Buscar CPA,
1225,1225,Buenos-Aires,calles-de-El-Marquesado,Buscar CPA,
1226,1226,Buenos-Aires,calles-de-El-Marquesado,Buscar CPA,
1227,1227,Buenos-Aires,calles-de-El-Marquesado,Buscar CPA,
1231,1231,Buenos-Aires,calles-de-El-Marquesado,Buscar CPA,
1234,1234,Buenos-Aires,calles-de-El-Marquesado,Buscar CPA,
1235,1235,Buenos-Aires,calles-de-El-Marquesado,Buscar CPA,
1237,1237,Buenos-Aires,calles-de-El-Marquesado,Buscar CPA,
1244,1244,Buenos-Aires,calles-de-El-Mirador,Buscar CPA,
1248,1248,Buenos-Aires,calles-de-El-Nacional,Buscar CPA,
1256,1256,Buenos-Aires,calles-de-El-Pelado,Buscar CPA,
1260,1260,Buenos-Aires,calles-de-El-Peregrino,Buscar CPA,
1264,1264,Buenos-Aires,calles-de-El-Refugio,Buscar CPA,
1267,1267,Buenos-Aires,calles-de-El-Refugio,Buscar CPA,
1277,1277,Buenos-Aires,calles-de-El-Rosario,Buscar CPA,
1284,1284,Buenos-Aires,calles-de-El-Sauce,Buscar CPA,
